Algorithm,Size,Time(seconds)
bucket,1600,0.000049
pigeonhole,1600,0.000023
bitonic,1600,0.000233
stooge,1600,0.951166
oddeven,1600,0.001231
strand,1600,0.000277
intro,1600,0.000056
bubble,1700,0.004347
selection,1700,0.002745
insertion,1700,0.000305
shell,1700,0.000115
heap,1700,0.000110
merge,1700,0.000134
quick,1700,0.000077
comb,1700,0.000098
cocktail,1700,0.004512
cycle,1700,0.001984
gnome,1700,0.004548
tim,1700,0.000056
counting,1700,0.000007
radix,1700,0.000027
bucket,1700,0.000047
pigeonhole,1700,0.000024
bitonic,1700,0.000265
stooge,1700,0.946251
oddeven,1700,0.001372
strand,1700,0.000290
intro,1700,0.000068
bubble,1800,0.004615
selection,1800,0.003402
insertion,1800,0.000335
shell,1800,0.000118
heap,1800,0.000109
merge,1800,0.000125
quick,1800,0.000073
comb,1800,0.000104
cocktail,1800,0.004711
cycle,1800,0.002342
gnome,1800,0.004892
tim,1800,0.000060
counting,1800,0.000009
radix,1800,0.000032
bucket,1800,0.000057
pigeonhole,1800,0.000028
bitonic,1800,0.000260
stooge,1800,0.942031
oddeven,1800,0.001499
strand,1800,0.000342
intro,1800,0.000068
bubble,1900,0.005457
selection,1900,0.003429
insertion,1900,0.000366
shell,1900,0.000120
heap,1900,0.000119
merge,1900,0.000141
quick,1900,0.000085
comb,1900,0.000108
cocktail,1900,0.005464
cycle,1900,0.002495
gnome,1900,0.007394
tim,1900,0.000093
counting,1900,0.000013
radix,1900,0.000062
bucket,1900,0.000090
pigeonhole,1900,0.000032
bitonic,1900,0.000312
stooge,1900,0.950515
oddeven,1900,0.001550
strand,1900,0.000386
intro,1900,0.000071
bubble,2000,0.005754
selection,2000,0.003729
insertion,2000,0.000400
shell,2000,0.000122
heap,2000,0.000119
merge,2000,0.000142
quick,2000,0.000081
comb,2000,0.000109
cocktail,2000,0.007203
cycle,2000,0.003503
gnome,2000,0.007564
tim,2000,0.000109
counting,2000,0.000011
radix,2000,0.000045
bucket,2000,0.000085
pigeonhole,2000,0.000037
bitonic,2000,0.000331
stooge,2000,0.933606
oddeven,2000,0.001763
strand,2000,0.000434
intro,2000,0.000079
bubble,2100,0.006678
selection,2100,0.004231
insertion,2100,0.000429
shell,2100,0.000127
heap,2100,0.000128
merge,2100,0.000148
quick,2100,0.000095
comb,2100,0.000119
cocktail,2100,0.006375
cycle,2100,0.003183
gnome,2100,0.008577
tim,2100,0.000075
counting,2100,0.000008
