Algorithm,Size,Time(seconds)
tim,6100,0.000278
counting,6100,0.000026
radix,6100,0.000116
bucket,6100,0.000519
pigeonhole,6100,0.000063
bitonic,6100,0.001041
stooge,6100,28.389038
oddeven,6100,0.020779
strand,6100,0.003364
intro,6100,0.000476
bubble,6200,0.071873
selection,6200,0.044904
insertion,6200,0.004524
shell,6200,0.000527
heap,6200,0.000435
merge,6200,0.000586
quick,6200,0.000340
comb,6200,0.000484
cocktail,6200,0.075896
cycle,6200,0.039036
gnome,6200,0.076184
tim,6200,0.000249
counting,6200,0.000061
radix,6200,0.000116
bucket,6200,0.000500
pigeonhole,6200,0.000063
bitonic,6200,0.001260
stooge,6200,27.093633
oddeven,6200,0.016120
strand,6200,0.002433
intro,6200,0.000342
bubble,6300,0.068967
selection,6300,0.039844
insertion,6300,0.003822
shell,6300,0.000480
heap,6300,0.000421
merge,6300,0.000446
quick,6300,0.000317
comb,6300,0.000460
cocktail,6300,0.065850
cycle,6300,0.028213
gnome,6300,0.061743
tim,6300,0.000295
counting,6300,0.000030
radix,6300,0.000120
bucket,6300,0.000677
pigeonhole,6300,0.000065
bitonic,6300,0.001104
stooge,6300,26.407261
oddeven,6300,0.015955
strand,6300,0.002382
intro,6300,0.000291
bubble,6400,0.070457
selection,6400,0.041428
insertion,6400,0.003784
shell,6400,0.000522
heap,6400,0.000439
merge,6400,0.000505
quick,6400,0.000295
comb,6400,0.000417
cocktail,6400,0.069539
cycle,6400,0.029970
gnome,6400,0.066834
tim,6400,0.000307
counting,6400,0.000046
radix,6400,0.000124
bucket,6400,0.000585
pigeonhole,6400,0.000065
bitonic,6400,0.001065
stooge,6400,27.927239
oddeven,6400,0.015822
strand,6400,0.002380
intro,6400,0.000331
bubble,6500,0.070932
selection,6500,0.048009
insertion,6500,0.004449
shell,6500,0.000498
heap,6500,0.000478
merge,6500,0.000486
quick,6500,0.000328
comb,6500,0.000441
cocktail,6500,0.071410
cycle,6500,0.033088
gnome,6500,0.075006
tim,6500,0.000307
counting,6500,0.000072
radix,6500,0.000125
bucket,6500,0.000550
pigeonhole,6500,0.000059
bitonic,6500,0.001118
stooge,6500,27.690451
oddeven,6500,0.017363
strand,6500,0.002780
intro,6500,0.000319
bubble,6600,0.075532
selection,6600,0.049349
insertion,6600,0.004227
shell,6600,0.000540
heap,6600,0.000510
merge,6600,0.000589
quick,6600,0.000371
comb,6600,0.000490
cocktail,6600,0.076837
cycle,6600,0.033382
gnome,6600,0.072347
tim,6600,0.000311
counting,6600,0.000029
radix,6600,0.000138
bucket,6600,0.000600
pigeonhole,6600,0.000075
bitonic,6600,0.001221
